Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,speed
Unknown,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,No distancing,2,36
Unknown,Female,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Getting off,Not a Pedestrian,Moving Backward,2,2
Unknown,Female,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,55
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2,98
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,64
31-50,Male,Junior high school,Employee,No Licence,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,73
31-50,Male,Above high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,2,57
31-50,Male,Elementary school,Employee,5-10yr,Unknown,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,67
Over 51,Male,Elementary school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,95
Unknown,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2,77
Unknown,Male,High school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,55
18-30,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Unknown,Collision with roadside objects,Going straight,Unknown or other,Moving Backward,2,53
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No distancing,1,12
18-30,Male,Writing & reading,Employee,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,102
18-30,Male,Junior high school,Employee,Above 10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to vehicle,1,67
Under 18,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,1,75
Unknown,Male,Writing & reading,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,52
18-30,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,No distancing,1,62
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,39
31-50,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Windy,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to vehicle,2,15
31-50,Male,Junior high school,Employee,5-10yr,One way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Driving carelessly,1,73
Under 18,Male,Elementary school,Employee,2-5yr,Undivided Two way,Other,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the right,1,28
31-50,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,67
Under 18,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Changing lane to the right,2,100
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,72
Unknown,Female,Junior high school,Owner,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,69
Unknown,Female,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Unknown,Vehicle with vehicle collision,Going straight,"Walking along in carriageway, back to traffic",Changing lane to the left,2,63
Under 18,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Getting off,Not a Pedestrian,Getting off the vehicle improperly,2,8
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Overloading,2,8
18-30,Male,Elementary school,Employee,Above 10yr,Double carriageway (median),No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,51
18-30,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Overtaking,2,81
18-30,Male,Elementary school,Other,Above 10yr,One way,Crossing,Asphalt roads,Daylight,Normal,Rollover,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,2,70
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Rollover,Unknown,Not a Pedestrian,Overturning,1,39
Under 18,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Other,Daylight,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Driving carelessly,1,52
18-30,Unknown,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,80
Unknown,Female,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,90
Over 51,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,94
Unknown,Female,Junior high school,Employee,Below 1yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Turnover,Not a Pedestrian,Getting off the vehicle improperly,2,44
18-30,Male,Junior high school,Owner,2-5yr,One way,Y Shape,Asphalt roads,Daylight,Raining,Collision with pedestrians,Turnover,Not a Pedestrian,No priority to pedestrian,2,28
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,64
18-30,Male,Writing & reading,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,2,3
Over 51,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Changing lane to the left,2,3
18-30,Male,High school,Employee,2-5yr,Undivided Two way,T Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,73
31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,Not a Pedestrian,Driving carelessly,2,67
Unknown,Male,High school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,Driving under the influence of drugs,2,7
18-30,Male,Elementary school,Employee,2-5yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,93
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Driving carelessly,2,10
18-30,Male,Elementary school,Employee,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Getting off,Not a Pedestrian,Changing lane to the right,2,2
31-50,Male,High school,Employee,No Licence,Undivided Two way,Y Shape,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No distancing,2,10
18-30,Male,Junior high school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving carelessly,2,36
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,No priority to pedestrian,2,7
Unknown,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,75
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,84
18-30,Male,Unknown,Unknown,Unknown,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,81
18-30,Male,Unknown,Unknown,Unknown,Undivided Two way,No junction,Other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,56
Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No distancing,2,4
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,1,103
Under 18,Male,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,58
18-30,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,93
31-50,Male,Elementary school,Owner,Above 10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,42
18-30,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Driving carelessly,2,4
Unknown,Male,Junior high school,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,77
18-30,Male,Junior high school,Owner,Above 10yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,51
Unknown,Female,High school,Owner,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,59
18-30,Male,Unknown,Unknown,Unknown,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,52
Under 18,Male,Elementary school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No distancing,2,16
18-30,Male,Elementary school,Owner,Above 10yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to vehicle,2,19
18-30,Male,Junior high school,Owner,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,98
Unknown,Male,Junior high school,Owner,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,87
18-30,Male,Junior high school,Owner,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,0,104
31-50,Male,High school,Owner,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,0,91
31-50,Male,Junior high school,Owner,Unknown,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,0,49
31-50,Male,Unknown,Owner,Below 1yr,One way,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,0,95
